//idk exactly what created this, i think ExcelToCsv
12S,16S,18S,28S,H3,NaK,Pepck
KP075951.1,KP075878.1,KP075829.1,"KP075725.1 (short, 1649bp)",KP076082.1,KP076040.1 (shooorttt),
KP075955.1,KP075874.1,KP075817.1,KP075727.1,KP076084.1,KP076037.1,
"X (blasts 100% to other indiviudal, but new data for this animal- longer than previous seq in gb)","KP075875.1 (BUT, only 510 bp, little short)",KP075790.1,KP075728.1,KP076081.1,,
KP075962.1,KP075894.1,KP075786.1,KP075739.1,KP076091.1,,
KP075969.1,KP075896.1,KP075798.1,KP075737.1,KP076093.1,,
KP075935.1,KP075893.1,KP075809.1,KP075736.1,KP076110.1,,
KP075960.1,EU868676.1,EU868769.1,KP075729.1,X (but a little short 312),,
KP075956.1,not on gb,KP075793.1,KP075732.1,KP076087.1,KP076028.1,
"X (no blast results, original data)",KP075897.1,KP075823.1,KP075744.1,KP076125.1,,
KP075961.1,KP075895.1,KP075788.1 (this sequence blasts 100% to kemphyra...),KP075738.1,KP076092.1 (check blast),,
KP075937.1,KP075892.1,KP075805.1,KP075733.1,KP076086.1,,
KP075938.1,KP075879.1,KP075796.1,KP075721.1,KP076108.1,KP076021.1,
KP075946.1,KP075885.1,KP075781.1,KP075717.1,KP076098.1,,
KP075936.1,KP075899.1,KP075812.1,KP075720.1,KP076101.1,KP076026.1,
KP075947.1,KP075886.1,KP075821.1,KP075712.1,KP076099.1,KP076025.1,
KP075968.1,KP075912.1,KP075818.1,KP075752.1,KP076104.1,,
KP075965.1,KP075915.1,KP075810.1,KP075750.1,KP076106.1,,
KP075963.1,KP075898.1,KP075787.1,KP075735.1,KP076124.1,KP076035.1,
KP075978.1,KP075910.1,KP075783.1,KP075742.1,KP076115.1,KP076033.1,
KP075980.1,KP075907.1,KP075791.1,KP075743.1,KP076114.1,,
KP075976.1 (BUT as N elegans- see DB note),KP075906.1,KP075824.1,KP075757.1,KP076126.1,,
X (new data),X (new data),X (new data. short 1339 bp),,X (new data),,
X (new data),EU868626.1,EU868716.1,X (new data),X (new data),,
X (new data),EU868630.1,EU868720.1,"X (new data, but short, 1261 bp)",X (new data),,
"X (new data, 405 bp)",EU868633.1,EU868723.1,X (new data),X (new data),,
,X (new data),"X (new data, 1738)",X (new data),,,
,X (new data),X (new data),X (new data),"X (new data, short 281)",,
,X (new data),X (new data),"X (new data, but short, 583 bp)","X (new data, short, 290)",,
X (new data),"X (new data, 483 bp)","X (new data, 1322)",X (new data),"X (new data, 290)",,
,EU868631.1,EU868721.1,X (new data),X (new data),,
"X (new data, 400 bp)",EU868635.1,EU868725.1 ( 1254bp),X (new data),X (new data),,
,"X (new data, 415bp)",FJ943440.1,FJ943447.1,FJ943454.1,,
"X (new data, 415bp)",EU868636.1 (496bp),EU868727.1,"X (new data, 1223 bp)",X (new data),,
,FJ943435.1,FJ943441.1,FJ943448.1,FJ943455.1,,
"X (new data, 408bp)",EU868646.1,EU868737.1,"X (new data, 1505)",X (new data),,
X (new data. 407bp),EU868642.1,EU868733.1 (1284bp),"X (new data, 1337)",X (new data),,
"X (new data, 407bp)",EU868643.1,EU868734.1 (1286bp),X (new data),X (new data),,
X (new data. 408),EU868647.1,EU868738.1,"X (new data, 1534)",X (new data),,
,EU868645.1,EU868736.1,X (new data),X (new data),,
"X(new data, but short, 399 bp)",X (new data),X (new data),X(new data),X (new data),,
"X (new data, but short, 399 bp)",EU868628.1,EU868718.1,"X (new data, short 740)",X (New data),,
"X (new data, but only 401bp)",EU868627.1,EU868717.1,X (new data),X (new data),,
,,"X (new data, a little short, 1753 bp)",X (new data),X (new data,,
,,"X (new data, but a little short, 1761)","X (new data, short 647 bp)",X (new data),,
X (new data),EU868629.1,EU868719.1,X (new data),X (new data),,
JX403863.1,"GQ487491.1 (short, 428 bp)",GQ487500.1,"X (new data, 1048)",GQ487517.1,,
JX403872.1,JX403854.1,JX403836.1,JX403815.1,JX403895.1,,
"X (new data, 347bp)",X (new data),"X (new data, 1349 bp)","X (new data, 1558)","X (new data, 290)",,
"X (new data, 344)",X (new data),"X (new data, 1359)","X (new data, 1567)","X (new data, 290)",,
"X (new data, 345)",X (new data),X( new data),X (new data),"X (new data, 290)",,
JX403884.1,JX403860.1,JX403842.1,JX403824.1,"? (this blasts as new data, but KC6201 has H3 in gb (JX403904.1) but does not hit)",,
JX403865.1,JX403847.1,JX403829.1,JX403808.1,JX403889.1,,
X (new data),X (new data),X (new data),X (new data),"X (new data, 290)",,
"X (new data, 343 bp)",X (new data),X (new data),"X (new data, 2287)","X (new data, 290)",,
JX403876.1,JX403855.1,JX403837.1,JX403820.1,JX403900.1,,
,DQ079704.1,DQ079738.1,DQ079774.1,DQ079661.1,,
,"X (new), 488",X (new),"X (new, 1249)","X (new, 290)",,
X (new),"X (new, 511)",EU868722.1 (738),"X (new, 1306)",X (new),,
JX403874.1,EU868634.1,EU868724.1,JX403817.1,KF182724.1,,
"X (new, 390)",X (new),X (new),"X (new, 1288)",X (new),,
"X (new, 407)",EU868641.1 (not sur if this is the same individual),EU868732.1,"X (new, 755)",,,
,X (new),"X (new, 1282)","X (new, 1958)",X (new),,
,X (new),X (new),"X (new, 1909)",X (new),,
X (new),X (new),X (new),"X (new, 1872)",X (new),,
"X (new data, 412)",EU868648.1,EU868739.1,X new data),X (new data),,
X (new data),X (new data),"JF346239.1 (blasts 100% to this, but not sure if same individual)","X (new, but only 696)",X (new data),,
X (new data),X (new),"X (new, 1520)","X (new, 849)",,,
JX403869.1,JX403851.1,JX403833.1,JX403812.1,JX403892.1,,
JX403887.1,X (new),JX403845.1,JX403827.1,,,
"X (new, 345)","X (new, 551)",X (new),X (new),,,
"X (new, 346)",X (new),X (new),X (new),"X (new, 290)",,
JX403882.1,JX403858.1,JX403840.1,JX403822.1,JX403902.1,,
KP076015.1,,,,KP076142.1,KP076051.1,
"X (new data, but short, 346 bp)",X (new data),"X (new data, 1343 bp)",,"X (new data, little short, 290 bp)",,
"X (new, short, 342)",X (new),blasts 100% to JF346246.1,X (new),X (new),,
"X (new, 406)",X (new),X (new),X (new),X (new),,
"X (new, 404)",X (new),X (new),"X (new, 1700)","X (new, 363, but all hits came back crayfish)",,
X (new),EU868649.1,EU868740.1,"X (new, 738)",X (new),,
,EU920915.1,EU920938.1,EU920972.1,EU921047.1,,
"X (new, 390)",X (new),blasts 100% JF346234.1,X (new),X (new),,
"X (new, 379)",X (new),"blasts 100% to this, but i do not believe is the idame individual JF346235.1",,X (new),,
"X (new, very short, 284)","X (new, 469)",X (new),X (new),X (new),,
"X (new, 396)",EU868650.1,EU868741.1,X (new),X (new),,
,GQ487496.1,GQ487504.1,GQ487512.1,GQ487523.1,,
"X (new, 335)","X (new, 491)",X (new),"X (new, 1422)",X (new),,
"X (new, 327)","X (new, short, 486)",X (new),X (new),X (new),,
MN994010.1 (356),EU868651.1,EU868742.1,"X (new data, 1751)",X (new data),,
"X (new data, short, 402)",EU868652.1,EU868743.1,"X (new data, 1304)",X (new data),,
,EU920921.1 (449),EU920941.1 (1683),EU920986.1 (1975),EU921054.1,,
,EU868653.1,EU868744.1,X (new data),X (new data),,
"X (new data, short, 406)",EU868654.1,EU868745.1,,X (new data),,
"X (new data, 392)",EU868656.1,EU868747.1,X (new data),X (new data),,
,,"X (new data, 1706)",X (new data),X (new data),,
"? (all blast results hit 12s for penaeoids, 339)","X (new data, 492)",X (new data),X (new data),X (new data),,
"X (newdata, 338)",,X (new data),X (new data),X (new data),,
"X (new data, 403)",EU868657.1,EU868748.1,"X (new data, 699)",X (new data),,
"X (new data, 335 bp)",X (new data),"X (new data, but blasted 100% to a different individual JF346241.1)","X (new data, 1451bp)",X (new data),,
,EU868661.1,EU868752.1,"X (new data, 1475)",X (new data),,
"EU920896.1 (short, 335 bp)",EU920927.1 (this seq is a lil short (453 bp) but ours is shorter (414 bp)),"X (new data, but this individual is already in GenBank, the sequence is short, 1163 bp, EU920939.1)",EU920974.1,EU921063.1,,
,x,x,x,x,,
JX403873.1,EU868664.1,EU868755.1,JX403816.1,JX403896.1,,
"X(new data; short, 334 bp)","X(new data; lil short, 469 bp)",X(new data),"X(new data, short, 1486)",X(new data),,
X(new data),EU868669.1,EU868760.1,X(new data),X(new data),,
X(new data),EU868668.1,EU868759.1,X(new data),X(new data),,
X(new data),,EU868761.1,X(new data),X(new data),,
X(new data),MT505229.1,X(new data),"X(new data, lil short, 1878 bp)",X(new data),,
,X(new data),X(new data),DQ079793.1,X(new data),,
X(new data),EU868665.1,EU868756.1,X(new data),X(new data),,
DQ079719.1,X(new data),DQ079753.1,DQ079794.1,DQ079682.1,,
X(new data),EU868666.1,EU868757.1,X(new data),MT527443.1,,
KP075997.1,EU868673.1,EU868766.1,KP075760.1,KP076132.1,,
KP075996.1,KP075927.1,X(new data),KP075759.1,X(new data),,
,EU868674.1,EU868767.1,X(new data),X(new data),,
,X(new data),X(new data),X(new data),X(new data),,
X(newdata),EU868680.1,EU868773.1,"X(new data, short, 1153)",X(new data),,
KP075970.1,,KP075779.1,KP075754.1,,KP076039.1,
KP076020.1,KP075908.1,KP075828.1,KP075756.1,KP076133.1,,
KP076019.1,KP075909.1,KP075827.1,KP075758.1,KP076134.1,KP076048.1,
KP076017.1,KP075933.1,,,KP076130.1,,
KP075974.1,KP075901.1,KP075797.1,KP075748.1,KP076122.1,KP076031.1,
KP075972.1,KP075904.1,KP075780.1,KP075747.1,KP076117.1,KP076032.1,
KP075987.1,KP075920.1,KP075847.1,KP075697.1,KP076072.1,,
KP075982.1,KP075917.1,KP075849.1,KP075698.1,KP076070.1,KP076046.1,
KP075989.1,,KP075842.1,KP075706.1,KP076074.1,,
KP075981.1,KP075923.1,KP075835.1,KP075765.1,KP076068.1,,
KP075995.1,KP075926.1,KP075853.1,KP075709.1,KP076078.1,,
KP075994.1,KP075916.1,KP075784.1,,KP076064.1,,
KP076007.1,KP075868.1,KP075838.1,KP075694.1,KP076059.1,,
KP076008.1,KP075870.1,KP075845.1,KP075689.1,KP076060.1,,
KP076005.1,KP075866.1,KP075846.1,KP075770.1,KP076080.1,,
KP076004.1,EU868681.1,EU868774.1,KP075695.1,KP076079.1,,
KP075992.1,KP075924.1,KP075855.1,KP075707.1,KP076063.1,,
KP075993.1,KP075925.1,KP075857.1,KP075708.1,KP076077.1,,
,EU868658.1,EU868750.1,X(new data),X(new data),,
,EU868658.1,EU868749.1,X(new data),X(new data),,
"X(new data, lil short, ##)","X(new data, lil short, 477)",X(new data),"X(new data, short, 1411)",X(new data),,
X(new data),EU868686.1,EU868779.1,X(new data),X(new data),,
X(new data),EU868685.1,EU868778.1,X(new data),X(new data),,
X(new data),EU868684.1,EU868777.1,X(new data),X(new data),,
X(new data),EU868687.1,EU868780.1,X(new data),,,
X(new data),EU868688.1,EU868781.1,X(new data),X(new data),,
X(new data),EU868701.1,EU868795.1,X(new data),X(new data),,
X(new data),EU868663.1,EU868754.1,"X(new data, short)",X(new data),,
x,,,,,,
,EU868693.1,EU868787.1,"X(new data, short)",,,
x,x,,,,,
X(new data),"X(new data, short)",,X(new data),X(new data),,
X(new data),EU868694.1,EU868788.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868696.1,EU868790.1,X(new data),X(new data),,
KF827962.1,EU868697.1,EU868791.1,KF182648.1,KF828028.1,,
,,DQ079755.1,DQ079796.1,DQ079684.1,,
X(new data),EU868705.1,EU868800.1,"X(new data, short)",X(new data),,
X(new data),EU868706.1,EU868801.1,X(new data),X(new data),,
EU920890.1,EU920920.1,EU920937.1,EU920975.1,EU921053.1,,
,"X(new data, short)",DQ079746.1,DQ079784.1,X(new data),,
,DQ079711.1,DQ079747.1,DQ079785.1,DQ079672.1,,
,GQ487497.1,GQ487505.1,GQ487513.1,GQ487524.1,,
,"X(new data, short)",DQ079764.1,DQ079807.1,X(new data),,
,EU868702.1,EU868797.1,X(new data),X(new data),,
,,,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868689.1,EU868782.1,X(new data),X(new data),,
KP076013.1,KP075931.1,KP075777.1,KP075762.1,KP076140.1,KP076047.1,
X(new data),EU868698.1,EU868792.1,X(new data),X(new data),,
,GQ487498.1,GQ487506.1,GQ487514.1,GQ487525.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868703.1,EU868798.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868704.1,EU868799.1,X(new data),X(new data),,
X(new data),,EU868793.1,X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868712.1,EU868810.1,X(new data; short),X(new data),,
X(new data),EU868691.1,EU868785.1,X(new data; short),X(new data),,
X(new data),EU868692.1,EU868786.1,X(new data; short),X(new data),,
X(new data),,EU868784.1,X(new data),X(new data),,
,,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
"X(new data, lil short)",EU868700.1,EU868796.1,X(new data; short),X(new data),,
X(new data),,X(new data; short),X(new data),X(new data),,
JX403864.1,JX403846.1,JX403828.1,JX403807.1,JX403888.1,,
X(new data),X(new data),X(new data),X(new data; short),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
JX403870.1,JX403852.1,JX403834.1,JX403813.1,JX403893.1,,
X(new data),,,,,,
JX403886.1,JX403862.1,JX403844.1,JX403826.1,JX403906.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),"X(new data, short)",,,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),"X(new data, short)","X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, short)",,,
,DQ079731.1,DQ079766.1,DQ079809.1,DQ079698.1,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),,,X(new data),,
X(new data),X(new data),"X(new data, short)","X(new data, short)",,,
X(new data),EU868683.1,EU868776.1,X(new data),X(new data),,
,X(new data),FJ943442.1,FJ943449.1,X(new data),,
,GQ487499.1,GQ487507.1,GQ487515.1,GQ487526.1,,
X(new data),EU868707.1,EU868802.1,"X(new data, short)",X(new data),,
X(new data),EU868708.1,EU868803.1,X(new data),X(new data),,
X(new data),EU868709.1,EU868804.1,X(new data,X(new data),,
X(new data),X(new data),X(new data; short),X(new data; short),X(new data),,
,,X(new data),,X(new data),,
,,JF346251.1,,X(new data),,
X(new data),,EU868805.1,X(new data),,,
X(new data),X(new data),X(new data),"X(new data, short",X(new data),,
JX403885.1,JX403861.1,JX403843.1,JX403825.1,JX403905.1,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
X(new data),X(new data),X(new data),,X(new data),,
X(new data),X(new data),X(new data),,X(new data),,
JX403883.1,JX403859.1,JX403841.1,JX403823.1,JX403903.1,,
JX403878.1,EU868710.1,EU868807.1,GQ487509.1,GQ487519.1,,
X(new data),,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data; short),X(new data),,
,X(new data),X(new data),X(new data; short),X(new data),,
JX403880.1,X(new data),x,X(new data; short),GQ487518.1,,
JX403868.1,JX403850.1,JX403832.1,JX403811.1,JX403907.1,,
X(new data),,X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),,X(new data),"X(new data, lil short)",X(new data),,
X(new data),X(new data),X(new data),"X(new data, lil short)",X(new data),,
JX403866.1,JX403848.1,JX403830.1,JX403809.1,JX403890.1,,
X(new data),X(new data),X(new data),X(new data),,,
X(new data),X(new data),"X(new data, lil short)","X(new data, short)",X(new data),,
JX403867.1,JX403849.1,JX403831.1,JX403810.1,JX403891.1,,
JX403881.1,JX403857.1,JX403839.1,JX403821.1,JX403901.1,,
X(new data),X(new data),"X(new data, short)",X(new data),,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
JX403871.1,JX403853.1,JX403835.1,JX403814.1,JX403894.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
,,X(new data),,X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),EU868711.1,EU868806.1,,,,
X(new data),X(new data),X(new data),"X(new data, short)",X(new data),,
not in txt file,,,,,,
,EU868667.1,EU868758.1,X(new data),X(new data),,
EU920893.1,X(new data;short),EU920940.1,EU920973.1,EU921057.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data; lil short),X(new data),X(new data),,X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),X(new data),X(new data),X(new data),,
,,,,X(new data),,
X(new data),EU868713.1,EU868808.1,,,,
,EU868714.1,EU868809.1,X(new data),X(new data),,
,EU868714.1,x,x,X,,
JX403876.1,JX403855.1,JX403837.1,JX403820.1,JX403900.1,,
DQ642861.1,EU868660.1,EU868751.1,EF540838.1,,,
JX403877.1,GQ487495.1,GQ487503.1,GQ487511.1,GQ487521.1,,
JX403875.1,EU868679.1,EU868772.1,JX403818.1,KF828029.1,,
X(new data),X(new data),X(new data),X(new data),X(new data),,
X(new data),X(new data),"X(new data, lil short)","X(new data, short)",,,
X(new data),X(new data),X(new data),"X(new data, short)",,,
,EU868638.1,EU868729.1,,,,
,EU868671.1,EU868764.1,,,,
,EU868670.1,EU868763.1,,,,
